ID,gender,name
8189086,female,Orthaia (daughter of Hyacinthos)
8189085,female,Orseis (wife of Hellen)
8189084,female,Orsedice (daughter of Pygmalion)
8189083,male,Orpheus (husband of Eurydice)
8189082,male,Ormenos (suitor of Penelope)
8189081,male,Ormenios (suitor of Penelope)
8189080,male,Orion (a gigantic autochthon)
8189241,male,Phineus (blind prophet tormented by the Harpies)
8189240,female,Philyra (wife of Nauplios)
8189243,male,Phineus (son of Lycaon)
8189242,male,Phineus (son of Belos)
8189245,male,Phlegyas (son of Ares)
8189244,male,Phlegyas (father of Coronis)
8189247,female,Phoibe (mother of some Danaids)
8189246,male,Phocos (son of Aiacos)
8189249,male,Phoinix Phoenix (son of Amyntor)
8189248,female,Phoibe (daughter of Leucippos)
8190051,undefined,the Defenders of Troy()
8190314,undefined,the Robe of Heracles()
8253958,undefined,Mideia() 570485
9063162,undefined,Pleuron (in Aitolia) 540999
8253999,undefined,"Erytheia (in Spain, original name for Gadeira) 256177"
8253998,undefined,Torone() 501646
